Methylation_Atlas	ATAC_Atlas	ATAC_Tissue	ATAC_scale	ATAC_clip	ATAC_Match_Quality	CAGE_Atlas_Library	CAGE_Atlas_Comment	CAGE_scale	CAGE_clip	CAGE_Match_Quality		
Blood-T-Naive-CD8	Naive T		2	32	3			128	384	0		
Kidney-Tubular-Endothel			2	32	0			128	384	0		
Kidney-Tubular-Epithel			2	32	0	"CNhs11330,CNhs12087,CNhs12120"	"Renal Proximal Tubular Epithelial Cell, donor1,2,3"	128	384	4		
Saphenous-Vein-Endothel	Endothelial Exocrine		2	32	2	CNhs12497	"Endothelial Cells - Vein, donor1"	128	384	4		
Gastric-antrum-Endocrine	Chief		2	32	1			128	384	0		
Gastric-antrum-Epithel			2	32	0			128	384	0		
Gastric-body-Epithel			2	32	0			128	384	0		
Gastric-fundus-Epithel			2	32	0			128	384	0		
Small-int-Endocrine			2	32	0			128	384	0		
Small-int-Epithel	"Enterocyte,SI Goblet"	Small Intestine	2	32	4	CNhs10875	"Intestinal epithelial cells (polarized), donor1"	128	384	4		
